,Title,Budget,DomesticTotalGross,Director,Rating,Runtime,ReleaseDate
0,Star Wars: The Force Awakens,200000000,858953106,J.J. Abrams,PG-13,136,2015-12-18
1,Jurassic World,150000000,652270625,Colin Trevorrow,PG-13,124,2015-06-12
2,Avengers: Age of Ultron,250000000,459005868,Joss Whedon,PG-13,141,2015-05-01
3,Inside Out,175000000,356461711,Pete Docter,PG,94,2015-06-19
4,Furious 7,190000000,353007020,James Wan,PG-13,137,2015-04-03
5,Minions,74000000,336045770,Pierre Coffin,PG,91,2015-07-10
6,The Hunger Games: Mockingjay - Part 2,160000000,279599584,Francis Lawrence,PG-13,137,2015-11-20
7,The Martian,108000000,227228785,Ridley Scott,PG-13,141,2015-10-02
8,Cinderella (2015),95000000,201151353,Kenneth Branagh,PG,112,2015-03-13
9,Spectre,245000000,199010902,Sam Mendes,PG-13,148,2015-11-06
10,Mission: Impossible - Rogue Nation,150000000,195042377,Christopher McQuarrie,PG-13,130,2015-07-31
11,Pitch Perfect 2,29000000,184296230,Elizabeth Banks,PG-13,115,2015-05-15
12,Ant-Man,130000000,180202163,Peyton Reed,PG-13,117,2015-07-17
13,Home (2015),135000000,177397510,Tim Johnson,PG,94,2015-03-27
14,Hotel Transylvania 2,80000000,169325789,Genndy Tartakovsky,PG,89,2015-09-25
15,Fifty Shades of Grey,40000000,166167230,Sam Taylor-Johnson,R,125,2015-02-13
16,The SpongeBob Movie: Sponge Out of Water,74000000,162994032,Mike MitchellPaul Tibbitt,PG,93,2015-02-06
17,Straight Outta Compton,28000000,161197785,F. Gary Gray,R,147,2015-08-14
18,San Andreas,110000000,155190832,Brad Peyton,PG-13,114,2015-05-29
19,Mad Max: Fury Road,150000000,153636354,George Miller,R,120,2015-05-15
20,Daddy's Home,,131858235,Sean Anders,PG-13,96,2015-12-25
21,The Divergent Series: Insurgent,110000000,130179072,Robert Schwentke,PG-13,119,2015-03-20
22,The Peanuts Movie,99000000,129547144,,G,93,2015-11-06
23,Kingsman: The Secret Service,81000000,128261724,Matthew Vaughn,R,129,2015-02-13
24,The Good Dinosaur,,119317790,Peter Sohn,PG,100,2015-11-25
25,Spy,65000000,110825712,Paul Feig,R,120,2015-06-05
26,Trainwreck,35000000,110212700,Judd Apatow,R,125,2015-07-17
27,Creed,35000000,107564655,Ryan Coogler,PG-13,133,2015-11-25
28,The Revenant,135000000,95702988,Alejandro González Iñárritu,R,151,2015-12-25
29,Tomorrowland,190000000,93436322,Brad Bird,PG,130,2015-05-22
30,Get Hard,40000000,90411453,Etan Cohen,R,100,2015-03-27
31,Terminator: Genisys,155000000,89760956,Alan Taylor,PG-13,126,2015-07-01
32,Taken 3,48000000,89256424,Olivier Megaton,PG-13,109,2015-01-09
33,Sisters,30000000,82915440,Jason Moore,R,118,2015-12-18
34,Maze Runner: The Scorch Trials,61000000,81696695,Wes Ball,PG-13,131,2015-09-18
35,Ted 2,68000000,81476385,Seth MacFarlane,R,115,2015-06-26
36,Alvin and the Chipmunks: The Road Chip,,81049347,,PG,86,2015-12-18
37,Goosebumps,58000000,79768035,Rob Letterman,PG,103,2015-10-16
38,Pixels,88000000,78747585,Chris Columbus,PG-13,105,2015-07-24
39,Paddington,55000000,76271832,Paul King,PG,95,2015-01-16
40,The Intern,35000000,75764672,Nancy Meyers,PG-13,121,2015-09-25
41,Bridge of Spies,40000000,71083426,Steven Spielberg,PG-13,140,2015-10-16
42,Paul Blart: Mall Cop 2,30000000,71038190,Andy Fickman,PG,94,2015-04-17
43,War Room,3000000,67790117,Alex Kendrick,PG,120,2015-08-28
44,Magic Mike XXL,,66013057,Gregory Jacobs,R,115,2015-07-01
45,The Visit,5000000,65206105,M. Night Shyamalan,PG-13,94,2015-09-11
46,The Wedding Ringer,23000000,64460211,Jeremy Garelick,R,101,2015-01-16
47,Black Mass,53000000,62575678,Scott Cooper,R,122,2015-09-18
48,Vacation,31000000,58884188,John Francis DaleyJonathan M. Goldstein,R,99,2015-07-29
49,The Perfect Guy,12000000,57027435,,PG-13,100,2015-09-11
50,Fantastic Four,120000000,56117548,Josh Trank,PG-13,100,2015-08-07
51,Focus (2015),,53862963,Glenn FicarraJohn Requa,R,104,2015-02-27
52,Southpaw,30000000,52421953,Antoine Fuqua,R,123,2015-07-24
53,Insidious Chapter 3,10000000,52218558,Leigh Whannell,PG-13,97,2015-06-05
54,Joy,60000000,52196524,David O. Russell,PG-13,124,2015-12-25
55,The Big Short,28000000,51760423,Adam McKay,R,130,2015-12-11
56,The Hateful Eight,44000000,48477070,Quentin Tarantino,R,167,2015-12-25
57,Poltergeist (2015),35000000,47425125,Gil Kenan,PG-13,93,2015-05-22
58,Jupiter Ascending,176000000,47387723,Andy & Lana Wachowski,PG-13,127,2015-02-06
59,Sicario,30000000,46889293,Denis Villeneuve,R,121,2015-09-18
60,The Man From U.N.C.L.E.,75000000,45445109,Guy Ritchie,PG-13,116,2015-08-14
61,"McFarland, USA",,44482410,Niki Caro,PG,128,2015-02-20
62,The Gift (2015),5000000,43787265,Joel Edgerton,R,108,2015-08-07
63,Everest (2015),55000000,43482270,Baltasar Kormakur,PG-13,121,2015-09-18
64,The Night Before,25000000,43035725,Jonathan Levine,R,101,2015-11-20
65,Krampus,15000000,42712410,Michael Dougherty,PG-13,98,2015-12-04
66,Max (2015),20000000,42656255,Boaz Yakin,PG,111,2015-06-26
67,The Age of Adaline,,42629776,Lee Toland Krieger,PG-13,112,2015-04-24
68,The Longest Ride,34000000,37446117,"George Tillman, Jr.",PG-13,139,2015-04-10
69,The Boy Next Door,4000000,35423380,Rob Cohen,R,91,2015-01-23
70,Pan,150000000,35088320,Joe Wright,PG,111,2015-10-09
71,Hot Pursuit,35000000,34580201,Anne Fletcher,PG-13,87,2015-05-08
72,The DUFF,,34030343,Ari Sandel,PG-13,101,2015-02-20
73,Woman in Gold,11000000,33307793,,PG-13,109,2015-04-01
74,Concussion (2015),35000000,33247035,Peter Landesman,PG-13,123,2015-12-25
75,The Second Best Exotic Marigold Hotel,10000000,33078266,John Madden,PG,122,2015-03-06
76,Unfriended,,32482090,Levan Gabriadze,R,83,2015-04-17
77,Entourage,30000000,32363404,Doug Ellin,R,104,2015-06-03
78,Paper Towns,12000000,32000304,Jake Schreier,PG-13,109,2015-07-24
79,Chappie,49000000,31569268,Neill Blomkamp,R,120,2015-03-06
80,Crimson Peak,55000000,31090320,Guillermo del Toro,R,119,2015-10-16
81,Spotlight,,31045328,Tom McCarthy,R,128,2015-11-06
82,A Walk in the Woods,,29504281,,R,104,2015-09-02
83,Point Break (2015),105000000,28022628,,PG-13,113,2015-12-25
84,Sinister 2,10000000,27740955,,R,97,2015-08-21
85,The Last Witch Hunter,90000000,27367660,Breck Eisner,PG-13,106,2015-10-23
86,No Escape,,27288872,John Erick Dowdle,R,101,2015-08-26
87,Ricki and the Flash,18000000,26822144,Jonathan Demme,PG-13,101,2015-08-07
88,The Woman in Black 2: Angel of Death,,26501323,,PG-13,98,2015-01-02
89,Run All Night,50000000,26461644,Jaume Collet-Serra,R,114,2015-03-13
90,Love the Coopers,17000000,26302731,Jessie Nelson,PG-13,107,2015-11-13
91,The Lazarus Effect,,25801047,David Gelb,PG-13,83,2015-02-27
92,Ex Machina,15000000,25442958,Alex Garland,R,110,2015-04-10
93,Brooklyn,,25129611,John Crowley,PG-13,111,2015-11-04
94,In the Heart of the Sea,100000000,24502392,Ron Howard,PG-13,121,2015-12-11
95,The Gallows,,22764410,,R,81,2015-07-10
96,Hitman: Agent 47,35000000,22467450,,R,96,2015-08-21
97,Project Almanac,12000000,22348241,Dean Israelite,PG-13,106,2015-01-30
98,Black or White,9000000,21571189,Mike Binder,PG-13,121,2015-01-30
99,Aloha,37000000,21067116,Cameron Crowe,PG-13,105,2015-05-29
